title,time,likes,stars,info
淘宝推出 “时光机” 活动：可查看近20年消费数据，还有机会 “报销20年账单”,1天前, 0, 1,近日淘宝推出了 “时光机” 活动，用户可查看自己近 20 年的消费情况。 在淘宝搜索栏 “淘宝时光机” 即可查看，其中显示了用户首次使用淘宝的日期，共花费的钱数、下单数，全国排名，...
漫威终于来了部能看的？,1天前, 0, 0,昨天陪老娘去医院做检查，出来才扎进影院看 《银河护卫队 3》，回来已快晚上观感来不及写，今天补上。 截至 2019 年漫威一直是进口片市场龙头支柱，闭着眼都是至少六、七亿...
“全职儿女” 是不是真的成了当下年轻人就业的新选择,1天前, 0, 0,@南周知道：近日，一篇名为《29 岁全职女儿丨不想努力了 在家躺平吧！》的帖子获得了 5.4 万人点赞，平台上类似的帖子点赞都在一万以上，一时间，关于 “全职儿女” 的话题引发大众...
加拿大和丹麦之间，有一座有争议的小岛：汉斯岛,1天前, 0, 0,@英式没品笑话百科：加拿大和丹麦之间，有一座有争议的小岛：汉斯岛。 1984 年，加拿大军队登陆汉斯岛，插上了自己国家的旗帜，还留下了另一个标志性的标记：一瓶加拿大威士忌。 对此丹...
活在 “厂里” 的人,1天前, 0, 1,@琉玄：不知道我妈看不看《漫长的季节》，她就是活在 “厂里” 的人。这个厂里不止是有工厂，还有医院、学校、杂货部、菜市场、公园。 我妈好像是 17 岁被她爸带进去的，顶替她爸的岗位...
道理就算说烂了也挡不住有些人自我优越感的发挥,2天前, 0, 1,null
见证每一种生物,2天前, 0, 1,null
传世老店,2天前, 0, 1,null
说明生得起孩子的确实有钱,2天前, 0, 1,null
真正的强者，从不屑于抱怨环境,2天前, 0, 3,null
1994年对生成式人工智能的预言,2天前, 0, 2,1994年对生成式人工智能的预言 （《中国漫画》1994年3月号） ​​​
周一并不糟糕，糟糕的是你的工作。,2天前, 0, 0,古尚古 iPhone 全系列钢化膜 2 片装 5.8 元包邮起 伊利 冰淇淋组合 多款自选 104.8 元包邮起 日本脱敏膏 降低敏感度 券后8元包邮 厨邦 金品生抽 1.25L*...
物理老师：我的物理世界坍塌了 ​​​,4天前, 0, 2,null
刚出生的婴儿非常脆弱，不能乱喂补品,4天前, 0, 1,今天的案例是婴儿刚出生4个小时，家长就给喂了3克西洋参，结果第二天就开始抽搐……一看CT才知道是西洋参引起的毛细血管扩张➠脑水肿➠颅内出血。 这提醒我们——刚出生的婴儿非常脆弱，不...
愿平安垃圾工作可以带来的启事，我感觉说的很对： ​​​,4天前, 1, 3,null
趵突泉的鱼你别太夸张了,4天前, 0, 1,null
6元一杯，在 “意大利沙县” 萨利亚，年轻人做快乐酒鬼,4天前, 0, 0,在一杯 6 元的葡萄酒背后，萨莉亚提供的不只是一个 “意大利沙县” 的可能。人们发现，在低价的食物中，自己的人生也在被折叠。 文 | 钟艺璇 编辑 | 曹默涵 ...
18 岁的我搭顺风车从北极到南极,4天前, 0, 1,在机场遇到了一个有趣的流浪汉，于是买下了他的裤子和鞋子。 以上是我编的。 其实这是一双陪我走遍世界的鞋子，它踏过六大洲的土壤，吹过五大洋的海风。 它的泥泞，也要带回家珍藏，因为它尘...
游客人数到底怎么统计的？,4天前, 0, 0,@有数 DataVision: 前两天在上海打车，遇上了一位大公司财务主管，下班兼职跑滴滴的师傅。碰巧堵在南北高架上，这位师傅有感而发，痛斥了一番他五一加班挣外快时的悲惨...
这个五一各个城市的消费数据都好夸张啊,4天前, 0, 0,各位，五一假期回来返工感觉如何 我也出去旅游了一趟，最大的感受是：一切全都回来了 不管是景区还是酒店、饭店、电影院，每个可以游玩的角落看到的场景都是如此似曾相识 这不假期后，关于五...
看到大家议论中国男足如何能崛起，要我说，爱个姑娘吧，她一逼你就努力去踢了,4天前, 0, 2,@汪有: 看到大家议论中国男足如何能崛起，要我说，爱个姑娘吧，她一逼你就努力去踢了；如果不讨厌小孩，就再生个娃，当了爹你就会为了不在孩子面前丢脸而使劲踢球了。然后你能跑多...
李想大战自媒体：煽风点火还是忍无可忍？,4天前, 0, 0,五一假期过完，让大家率先进入状态的，是一场有关营销的争论。 这场争论横跨数天，业内众多人士纷纷发声，和网友一起组成了 5 月中国新造车第一场舆论大激斗。 激斗的核心人物之一，则是理...
普通人怎么拥有千万资产？,4天前, 0, 1,@汪有：#普通人怎么拥有千万资产#这是实在没话题了。有空不如考虑考虑普通人怎么能有双休、医保社保、退休工资吧。用我老婆话说这么闲不如把地拖了。 ​ @顾扯淡：#普通人怎么拥有千万资...
年轻漂亮怎么挖都对,4天前, 0, 0,1、前几年，大厂给资本市场讲故事时，总爱说自家用户 90 后有多少，毕竟年轻意味着未来，能把前浪拍死在沙滩上。后来 B 站干脆弄了个宣传片，名字直接叫后浪，让一帮前浪给后浪唱赞歌，...
熊猫：他不尊重我,4天前, 0, 1,这真是笑死我了，我以为是人装的 ​​​
我才不是平平无奇！你有哪些奇怪的小骄傲？,4天前, 0, 2,null
吹爆清华出的“据意查句”这个神器,4天前, 0, 0,吹爆清华出的“据意查句”这个神器：wantquotes.net，你只需要输入描述，就可以找到相应的名言名句！ 谢谢清华！出了这些在线神器！爱校对（文字校对的）：ijiaodui.c...
只能说这些人演技真棒！,4天前, 0, 1,我终于知道这种片子要怎么拍 原来头上长摄像头是这个样
华佗能治大头就能治小头,4天前, 0, 1,null
普通人怎么拥有千万资产 我认为回答得最好的一篇 ​​​,4天前, 1, 3,null
上班时间谁发消息我都想聊两句，下班时间谁发消息我都不想理。,4天前, 0, 0,六神 生姜健发固根 护发控油 洗发水套装（750ml*2+赠同款100ml*2） 35元包邮（双重优惠） 全国通用，蜜雪冰城 桃喜芒芒 3杯甜蜜套餐 9.9元包邮 维德口腔溃疡喷剂...
