联想笔记本电脑小新Air15 英特尔酷睿i5 轻薄本(12核i5-1240P 16G 512G 100%sRGB高色域)银 商务办公手提电脑,4499.90,20万+,联想京东自营旗舰店
惠普（HP）暗影精灵9 Intel 16.1英寸游戏本 笔记本电脑(13代i9-13900HX RTX4060 16G 1TBSSD 2.5K 240Hz),9199.00,10万+,惠普（HP）OMEN暗影精灵京东自营旗舰店
惠普HP 星14 Pro 14英寸轻薄笔记本电脑(12代i5-12500H标压2.8K 90Hz OLED材质高分高刷屏 硬件护眼)月光银,4599.00,2万+,惠普京东自营官方旗舰店
惠普(HP)战66 锐龙版14英寸(全新7nm锐龙R5-5625U 16G 512G 长续航 高色域低功耗屏)高性能轻薄本电脑,3699.00,20万+,惠普京东自营官方旗舰店
荣耀MagicBook 14 锐龙版 14英寸6核锐龙R5轻薄笔记本电脑 16G大内存 512G 冰河银 多屏协同 高色域,3299.00,5万+,荣耀京东自营旗舰店
华为笔记本电脑MateBook D 15 2022 12代酷睿版 15.6英寸 i5 16G 512G 护眼全面屏/轻薄本/手机互联 皓月银,4699.90,50万+,华为京东自营官方旗舰店
华为笔记本电脑MateBook D 14 2022 12代酷睿版 i7 16G 512G 锐炬显卡/轻薄本/14英寸护眼全面屏/手机互联 银,5799.00,50万+,华为京东自营官方旗舰店
【2023英特尔+酷睿i7独显】国行4K金属笔记本电脑超薄指纹解锁商务办公设计学生游戏系能手提电脑 英特尔12代 【4K高清款】超性能本+指纹解锁 16G+512G超速固态+豪华礼品,2188.00,2万+,系能旗舰店
华硕灵耀14 2023旗舰版 14.5英寸13代英特尔标压Evo2.8K 120Hz OLED笔记本电脑(i9-13900H 32G 1T RTX3050)灰,9499.90,1000+,华硕京东自营官方旗舰店
联想笔记本电脑IdeaPad 15.6英寸轻薄本(锐龙8核 R7 16G 512G 全高清防眩光屏) 网课商务办公 预装正版win,3499.00,10万+,联想京东自营旗舰店
联想ThinkBook 16+ 2023款 13代酷睿i5英特尔Evo平台 16英寸标压轻薄笔记本i5-13500H 32G 512G SSD 2.5K,5999.00,5万+,ThinkPad京东自营旗舰店
得力(deli)12本A5/30张无线装订软抄本 记事本/ 工作笔记本子/ 日记本 文具办公用品 7650,16.50,50万+,得力京东自营官方旗舰店
小米笔记本电脑 红米 Redmi Book Pro15 3.2K高色域屏 商务办公 高清屏轻薄本(R7-6800H 16G 512G 带摄像头),4799.00,20万+,小米京东自营旗舰店
惠普(HP)战66 六代 2023酷睿14英寸(英特尔13代i5-1340P 16G 1T长续航 高色域低功耗)高性能轻薄本电脑,4899.00,20万+,惠普京东自营官方旗舰店
荣耀笔记本电脑MagicBook 14 2023 13代酷睿高性能轻薄本 标压i5-13500H 16G 1TB 2.5K高刷屏 手机互联,5499.00,500+,荣耀京东自营旗舰店
